hgnc	chrom	obs_lof	exp_lof
HGNC:2364	chr19	10.0	18.677
HGNC:16387	chr17	15.0	52.045
HGNC:24529	chr17	5.0	11.871
HGNC:17948	chr17	0.0	19.922
HGNC:6450	chr17	23.0	19.116
HGNC:59	chr11	51.0	84.216
HGNC:1407	chr16	0.0	15.291
HGNC:31092	chr11	20.0	36.255
HGNC:563	chr17	6.0	45.047
HGNC:11517	chr7	1.0	8.8637
HGNC:13056	chr16	19.0	28.772
HGNC:10647	chr16	2.0	11.558
HGNC:26125	chr17	22.0	44.984
HGNC:1394	chr17	13.0	97.912
HGNC:18152	chr16	3.0	4.8437
HGNC:2919	chr7	1.0	12.54
HGNC:6861	chr14	11.0	44.666
HGNC:9839	chr7	0.0	11.127
HGNC:21649	chr7	12.0	29.95
HGNC:22224	chr7	6.0	51.696
HGNC:3490	chr7	4.0	26.404
HGNC:21869	chr7	18.0	30.397
HGNC:410	chr11	11.0	18.298
HGNC:26067	chr1	12.0	19.312
HGNC:13411	chr7	14.0	40.185
HGNC:10625	chr7	3.0	3.7588
HGNC:16460	chr2	56.0	59.132
HGNC:12597	chr11	36.0	53.543
HGNC:21705	chr7	7.0	9.8191
HGNC:17364	chr7	4.0	32.421
HGNC:11608	chr19	7.0	9.6235
HGNC:5456	chr7	9.0	23.291
HGNC:30054	chr19	6.0	7.5894
HGNC:2260	chr17	5.0	17.216
HGNC:4661	chr7	10.0	51.531
HGNC:25459	chr19	12.0	31.245
HGNC:12713	chr7	37.0	57.936
HGNC:29096	chr17	5.0	47.681
HGNC:14198	chr17	36.0	45.465
HGNC:21695	chr7	48.0	36.797
HGNC:7571	chr17	76.0	102.82
HGNC:24041	chr12	4.0	17.677
HGNC:15483	chr5	21.0	26.35
HGNC:23061	chr2	7.0	14.663
HGNC:9485	chr16	12.0	14.732
HGNC:13538	chr19	4.0	35.509
HGNC:9454	chr4	39.0	48.467
HGNC:25171	chr19	2.0	7.8667
HGNC:28834	chr19	17.0	14.799
HGNC:8574	chr17	0.0	27.88
HGNC:7873	chr17	33.0	58.437
HGNC:2953	chr17	130.0	208.35
HGNC:28960	chr17	38.0	118.23
HGNC:10917	chr17	23.0	28.43
HGNC:4169	chr17	6.0	32.693
HGNC:23069	chr19	10.0	7.9429
HGNC:6906	chr19	14.0	28.592
HGNC:1819	chr19	11.0	11.844
HGNC:1699	chr17	1.0	12.362
HGNC:10591	chr17	19.0	73.739
HGNC:18441	chr1	19.0	32.114
HGNC:8620	chr11	1.0	28.127
HGNC:14173	chr16	13.0	9.5629
HGNC:20561	chr16	29.0	42.288
HGNC:6723	chr16	5.0	23.271
HGNC:1400	chr3	10.0	73.966
HGNC:948	chr16	55.0	66.527
HGNC:14175	chr16	6.0	10.322
HGNC:14135	chr16	13.0	22.868
HGNC:14122	chr16	12.0	46.603
HGNC:11716	chr6	2.0	23.868
HGNC:10718	chr1	20.0	33.774
HGNC:25570	chr1	4.0	37.463
HGNC:3771	chr1	22.0	19.774
HGNC:21155	chr6	5.0	19.622
HGNC:3114	chr1	4.0	16.326
HGNC:9537	chr6	0.0	10.845
HGNC:6196	chr6	5.0	55.923
HGNC:14585	chr1	10.0	24.716
HGNC:1730	chr1	27.0	28.832
HGNC:29831	chr1	20.0	29.244
HGNC:11743	chr6	1.0	18.309
HGNC:15581	chr6	1.0	18.847
HGNC:2899	chr3	67.0	90.112
HGNC:9504	chr7	4.0	21.747
HGNC:201	chr7	14.0	60.358
HGNC:11507	chr7	4.0	11.187
HGNC:2571	chr17	2.0	11.587
HGNC:14524	chr17	5.0	73.985
HGNC:3230	chr3	21.0	123.37
HGNC:17366	chr7	26.0	44.576
HGNC:25562	chr12	35.0	46.375
HGNC:15593	chr3	3.0	4.5464
HGNC:25934	chr19	10.0	19.382
HGNC:7061	chr12	4.0	4.7984
HGNC:2384	chr12	20.0	35.713
HGNC:8904	chr19	7.0	6.6722
HGNC:7788	chr19	0.0	20.103
HGNC:10862	chr8	3.0	15.674
HGNC:14246	chr16	22.0	25.227
HGNC:16830	chr16	11.0	7.6769
HGNC:9008	chr16	18.0	149.37
HGNC:6883	chr22	0.0	29.742
HGNC:22963	chr17	26.0	51.681
HGNC:18756	chr8	10.0	34.13
HGNC:29273	chr2	54.0	107.2
HGNC:11846	chr3	2.0	21.211
HGNC:10405	chr8	4.0	9.0639
HGNC:29905	chr1	2.0	43.828
HGNC:16803	chr7	5.0	57.378
HGNC:9968	chr6	9.0	134.52
HGNC:8621	chr1	5.0	18.849
HGNC:6902	chr1	24.0	29.462
HGNC:21071	chr6	6.0	13.393
HGNC:28530	chr1	11.0	19.529
HGNC:30766	chr1	25.0	40.118
HGNC:19743	chr14	25.0	43.92
HGNC:20954	chr6	8.0	16.003
HGNC:12744	chr7	9.0	33.234
HGNC:961	chr7	3.0	70.985
HGNC:13727	chr6	1.0	36.537
HGNC:18160	chr6	20.0	18.981
HGNC:25356	chr1	1.0	15.6
HGNC:24248	chr1	19.0	31.344
HGNC:3095	chr12	26.0	23.913
HGNC:12998	chr17	7.0	26.675
HGNC:12585	chr3	8.0	26.424
HGNC:19169	chr7	6.0	13.838
HGNC:1709	chr12	6.0	13.772
HGNC:13242	chr3	15.0	26.078
HGNC:24305	chr12	34.0	77.788
HGNC:24970	chr12	11.0	26.213
HGNC:4271	chr19	38.0	28.086
HGNC:18458	chr3	9.0	22.986
HGNC:30400	chr3	32.0	41.432
HGNC:18006	chr3	10.0	59.505
HGNC:18628	chr3	102.0	149.45
HGNC:26219	chr19	11.0	20.009
HGNC:11046	chr12	22.0	32.107
HGNC:9486	chr9	15.0	10.636
HGNC:12993	chr16	11.0	15.689
HGNC:1678	chr12	9.0	22.142
HGNC:19138	chr12	14.0	17.964
HGNC:4886	chr6	14.0	18.456
HGNC:19003	chr1	14.0	32.1
HGNC:4037	chr6	4.0	32.88
HGNC:4921	chr6	2.0	78.827
HGNC:3769	chr1	19.0	25.514
HGNC:11620	chr1	1.0	39.956
HGNC:6738	chr1	1.0	13.809
HGNC:2024	chr1	21.0	49.732
HGNC:16875	chr17	19.0	87.279
HGNC:33531	chr17	13.0	14.098
HGNC:11054	chr5	20.0	32.876
HGNC:21640	chr12	2.0	12.141
HGNC:18269	chr14	16.0	47.67
HGNC:580	chr19	20.0	23.452
HGNC:7121	chr17	29.0	37.943
HGNC:21396	chr3	13.0	21.051
HGNC:29857	chr19	10.0	36.241
HGNC:19866	chr17	0.0	38.61
HGNC:24274	chr17	9.0	25.04
HGNC:21698	chr7	19.0	50.564
HGNC:26006	chr17	15.0	20.687
HGNC:9583	chr19	1.0	26.927
HGNC:20225	chr19	3.0	27.201
HGNC:11514	chr11	2.0	19.115
HGNC:17095	chr3	34.0	52.791
HGNC:8971	chr11	23.0	90.713
HGNC:9053	chr19	6.0	14.09
HGNC:14082	chr7	14.0	58.485
HGNC:30917	chr19	2.0	28.029
HGNC:17155	chr9	1.0	61.08
HGNC:2705	chr12	4.0	17.08
HGNC:25952	chr19	13.0	14.807
HGNC:9322	chr19	2.0	30.098
HGNC:29076	chr2	5.0	23.793
HGNC:6865	chr2	15.0	62.097
HGNC:16763	chr19	9.0	19.188
HGNC:12449	chr19	2.0	6.8381
HGNC:30136	chr16	4.0	5.2237
HGNC:1100	chr17	55.0	75.229
HGNC:3433	chr19	12.0	14.996
HGNC:1643	chr19	9.0	45.016
HGNC:6720	chr3	35.0	39.864
HGNC:3518	chr8	13.0	30.543
HGNC:7967	chr12	10.0	27.01
HGNC:21308	chr6	3.0	21.839
HGNC:435	chr10	17.0	40.071
HGNC:29306	chr12	17.0	40.062
HGNC:20344	chr14	5.0	23.539
HGNC:6867	chr14	8.0	50.818
HGNC:3244	chr2	6.0	19.664
HGNC:9551	chr19	5.0	21.345
HGNC:29623	chr4	41.0	52.625
HGNC:29326	chr3	8.0	26.695
HGNC:8514	chr3	0.0	7.7799
HGNC:24279	chr17	18.0	21.841
HGNC:7531	chr16	18.0	36.777
HGNC:17623	chr7	12.0	33.479
HGNC:8907	chr6	14.0	33.518
HGNC:21385	chr6	10.0	10.288
HGNC:2068	chr2	15.0	30.028
HGNC:30348	chr12	47.0	69.025
HGNC:19961	chr14	19.0	35.877
HGNC:10058	chr5	9.0	23.059
HGNC:2736	chr12	40.0	54.19
HGNC:17176	chr12	8.0	7.664
HGNC:9836	chr12	11.0	11.002
HGNC:1691	chr11	12.0	29.635
HGNC:11524	chr4	17.0	36.079
HGNC:23039	chr6	26.0	42.796
HGNC:30073	chr11	17.0	39.208
HGNC:28972	chr8	7.0	32.095
HGNC:1476	chr11	23.0	46.126
HGNC:125	chr3	24.0	24.059
HGNC:6970	chr2	2.0	17.191
HGNC:1329	chr4	17.0	37.534
HGNC:24307	chr1	39.0	46.897
HGNC:2263	chr10	21.0	22.795
HGNC:19967	chr14	31.0	92.181
HGNC:17363	chr12	1.0	9.5956
HGNC:16966	chr10	1.0	39.6
HGNC:3002	chr16	16.0	18.523
HGNC:1050	chr22	14.0	9.6066
HGNC:6912	chr5	0.0	37.522
HGNC:7898	chr7	39.0	54.439
HGNC:15517	chr17	6.0	34.754
HGNC:16078	chr8	4.0	13.05
HGNC:22208	chr7	4.0	18.63
HGNC:6132	chr5	2.0	15.42
HGNC:24288	chr3	13.0	23.416
HGNC:6003	chr6	6.0	18.442
HGNC:2015	chr1	21.0	41.914
HGNC:2018	chr1	27.0	36.143
HGNC:24870	chr3	15.0	20.364
HGNC:13211	chr3	5.0	57.657
HGNC:5464	chr12	2.0	7.8129
HGNC:9841	chr18	8.0	32.117
HGNC:30285	chr4	11.0	39.727
HGNC:2171	chr12	14.0	58.671
HGNC:10907	chr2	29.0	29.201
HGNC:24042	chr3	2.0	17.686
HGNC:327	chr2	1.0	40.462
HGNC:800	chr1	16.0	49.06
HGNC:25986	chr2	30.0	51.916
HGNC:26421	chr19	5.0	5.4207
HGNC:17149	chr11	8.0	13.135
HGNC:23697	chr11	15.0	62.008
HGNC:6895	chr2	31.0	31.226
HGNC:2602	chr20	32.0	27.85
HGNC:13996	chr11	2.0	20.011
HGNC:14962	chr11	3.0	16.895
HGNC:11094	chr8	1.0	9.6037
HGNC:1697	chr5	4.0	16.239
HGNC:4893	chr7	7.0	52.577
HGNC:18224	chr10	4.0	37.282
HGNC:17597	chr1	1.0	27.129
HGNC:17849	chr8	21.0	49.45
HGNC:15940	chr20	10.0	22.378
HGNC:7181	chr14	18.0	17.527
HGNC:23023	chr14	3.0	35.559
HGNC:10473	chr1	2.0	14.864
HGNC:7230	chr11	26.0	42.994
HGNC:19079	chr11	8.0	14.541
HGNC:3311	chr6	12.0	13.003
HGNC:17450	chr7	20.0	26.135
HGNC:11067	chr19	17.0	22.755
HGNC:11233	chr2	3.0	34.562
HGNC:8010	chr14	1.0	42.532
HGNC:16392	chr11	18.0	48.088
HGNC:29513	chr15	11.0	83.327
HGNC:2323	chr2	30.0	78.663
HGNC:1353	chr1	29.0	29.639
HGNC:15890	chr20	8.0	17.228
HGNC:4075	chr5	3.0	21.129
HGNC:22948	chr19	53.0	44.81
HGNC:29196	chr8	11.0	25.544
HGNC:10055	chr12	10.0	41.29
HGNC:20345	chr14	11.0	22.881
HGNC:19160	chr10	12.0	24.959
HGNC:29214	chr11	5.0	42.97
HGNC:10074	chr11	17.0	20.972
HGNC:7707	chr2	23.0	40.321
HGNC:15574	chr8	5.0	76.439
HGNC:18311	chr9	2.0	22.959
HGNC:396	chr3	7.0	26.82
HGNC:591	chr11	7.0	25.314
HGNC:369	chr13	12.0	64.707
HGNC:16065	chr1	5.0	6.2034
HGNC:11134	chr14	23.0	21.316
HGNC:24269	chr12	8.0	15.832
HGNC:30796	chr12	3.0	20.697
HGNC:53	chr10	73.0	76.597
HGNC:2760	chr6	4.0	35.405
HGNC:24310	chr1	4.0	19.012
HGNC:4312	chr1	0.0	13.867
HGNC:21289	chr6	15.0	108.64
HGNC:3243	chr19	4.0	17.022
HGNC:22949	chr1	21.0	38.032
HGNC:21098	chr6	14.0	13.112
HGNC:19903	chr6	2.0	14.425
HGNC:5225	chr6	4.0	29.024
HGNC:16098	chr20	7.0	50.286
HGNC:23316	chr12	3.0	13.111
HGNC:7966	chr11	3.0	20.767
HGNC:3148	chr22	9.0	17.145
HGNC:25071	chr22	13.0	37.074
HGNC:15746	chr20	6.0	16.733
HGNC:21082	chr6	21.0	53.011
HGNC:6399	chr1	3.0	34.619
HGNC:12692	chr10	4.0	21.616
HGNC:11920	chr10	2.0	14.279
HGNC:21686	chr6	8.0	15.014
HGNC:1681	chr11	18.0	40.216
HGNC:6248	chr20	5.0	13.965
HGNC:20885	chr6	6.0	22.195
HGNC:21394	chr1	5.0	14.853
HGNC:1138	chr6	15.0	19.352
HGNC:7104	chr13	28.0	37.078
HGNC:9403	chr14	9.0	40.468
HGNC:6093	chr1	45.0	60.699
HGNC:5439	chr6	6.0	16.921
HGNC:930	chr5	8.0	12.999
HGNC:10821	chr1	12.0	17.767
HGNC:12719	chr2	21.0	29.12
HGNC:11917	chr1	4.0	19.21
HGNC:18258	chr12	9.0	35.65
HGNC:9213	chr19	1.0	24.022
HGNC:25818	chr5	9.0	30.113
HGNC:11172	chr15	5.0	30.588
HGNC:11589	chr6	2.0	9.0907
HGNC:18984	chr12	20.0	33.089
HGNC:16863	chr6	28.0	41.318
HGNC:20182	chr14	2.0	13.027
HGNC:492	chr8	9.0	92.786
HGNC:5341	chr4	17.0	17.463
HGNC:17037	chr6	15.0	16.482
HGNC:17677	chr17	8.0	54.232
HGNC:18017	chr11	27.0	88.779
HGNC:949	chr6	9.0	11.447
HGNC:7525	chr9	19.0	39.943
HGNC:13177	chr2	2.0	22.012
HGNC:4601	chr17	8.0	29.896
HGNC:1335	chr5	11.0	49.919
HGNC:29216	chr3	5.0	54.809
HGNC:21347	chr6	12.0	14.403
HGNC:9850	chr19	1.0	33.71
HGNC:9885	chr14	4.0	65.882
HGNC:12383	chr2	6.0	20.819
HGNC:16268	chr19	33.0	68.794
HGNC:20606	chr13	25.0	49.311
HGNC:18294	chr16	27.0	24.821
HGNC:25265	chr12	5.0	32.533
HGNC:71	chr7	11.0	38.098
HGNC:29270	chr7	28.0	32.007
HGNC:18531	chr1	6.0	75.203
HGNC:4019	chr14	10.0	33.338
HGNC:25581	chr4	26.0	64.303
HGNC:14458	chr11	4.0	30.077
HGNC:865	chr17	7.0	48.982
HGNC:2752	chr15	0.0	31.759
HGNC:11033	chr3	12.0	57.206
HGNC:579	chr15	6.0	30.842
HGNC:6843	chr17	6.0	17.87
HGNC:25678	chr8	7.0	11.107
HGNC:11879	chr2	2.0	1.4522
HGNC:25021	chr3	17.0	22.409
HGNC:13432	chr8	10.0	35.882
HGNC:8858	chr6	8.0	25.869
HGNC:13291	chr16	6.0	7.2879
HGNC:7610	chr1	19.0	22.246
HGNC:29546	chr2	14.0	19.68
HGNC:25911	chr2	5.0	5.5881
HGNC:12665	chr10	14.0	55.222
HGNC:24902	chr5	19.0	28.325
HGNC:2675	chr15	16.0	18.976
HGNC:8017	chr8	28.0	56.57
HGNC:292	chr1	6.0	26.11
HGNC:24133	chr4	10.0	16.605
HGNC:11821	chr17	1.0	9.5008
HGNC:9969	chr4	11.0	59.643
HGNC:25622	chr3	15.0	38.453
HGNC:2553	chr2	4.0	40.119
HGNC:7614	chr8	114.0	89.751
HGNC:2641	chr14	3.0	26.064
HGNC:24523	chr1	3.0	43.77
HGNC:10934	chr8	29.0	24.794
HGNC:12618	chr11	12.0	35.005
HGNC:1514	chr3	10.0	37.579
HGNC:12419	chr17	12.0	24.217
HGNC:17050	chr5	5.0	6.4369
HGNC:3767	chr5	5.0	71.404
HGNC:25994	chr5	14.0	41.193
HGNC:29249	chr1	4.0	33.359
HGNC:7034	chr5	6.0	10.282
HGNC:28469	chr19	7.0	11.932
HGNC:7030	chr12	6.0	11.572
HGNC:5129	chr12	3.0	10.57
HGNC:318	chr4	11.0	17.442
HGNC:18215	chr4	14.0	22.571
HGNC:31792	chr4	16.0	95.716
HGNC:6905	chr5	5.0	15.517
HGNC:11843	chr4	14.0	59.099
HGNC:17157	chr16	17.0	70.811
HGNC:12303	chr5	14.0	157.79
HGNC:2464	chr5	13.0	103.98
HGNC:29013	chr16	11.0	47.474
HGNC:7376	chr8	27.0	21.723
HGNC:1748	chr16	9.0	36.519
HGNC:18734	chr5	12.0	59.34
HGNC:2950	chr5	141.0	233.47
HGNC:20756	chr5	31.0	60.716
HGNC:25836	chr16	11.0	57.871
HGNC:1339	chr5	40.0	52.453
HGNC:14873	chr5	8.0	49.463
HGNC:30635	chr5	2.0	27.335
HGNC:9154	chr19	23.0	26.941
HGNC:17107	chr19	21.0	23.159
HGNC:29149	chr16	21.0	57.723
HGNC:26010	chr5	29.0	36.27
HGNC:11371	chr8	4.0	28.741
HGNC:26001	chr1	9.0	15.649
HGNC:2518	chr17	9.0	19.659
HGNC:18601	chr22	0.0	9.973
HGNC:28428	chr17	0.0	17.834
HGNC:1749	chr5	8.0	34.481
HGNC:6074	chr2	7.0	52.821
HGNC:9767	chr18	4.0	10.681
HGNC:9533	chr15	3.0	15.861
HGNC:29822	chr13	16.0	89.495
HGNC:25652	chr3	24.0	37.739
HGNC:273	chr3	23.0	26.234
HGNC:5318	chr9	30.0	91.351
HGNC:20855	chr1	4.0	6.675
HGNC:16168	chr20	35.0	44.364
HGNC:18884	chr14	30.0	36.771
HGNC:21411	chr10	10.0	15.655
HGNC:20423	chr14	22.0	27.333
HGNC:2375	chr11	20.0	37.342
HGNC:25991	chr2	24.0	30.451
HGNC:1474	chr2	20.0	19.934
HGNC:565	chr19	1.0	9.4415
HGNC:12601	chr1	178.0	235.31
HGNC:15662	chr7	9.0	19.678
HGNC:11764	chr8	110.0	143.87
HGNC:206	chr8	39.0	43.831
HGNC:956	chr11	3.0	11.289
HGNC:18184	chr3	1.0	17.197
HGNC:22984	chr5	2.0	36.154
HGNC:12873	chr13	0.0	11.202
HGNC:6529	chr5	6.0	34.711
HGNC:20286	chr1	19.0	24.363
HGNC:285	chr10	9.0	10.07
HGNC:4683	chr1	1.0	4.844
HGNC:21024	chr6	47.0	82.047
HGNC:2509	chr5	8.0	46.085
HGNC:23432	chr9	75.0	76.551
HGNC:3387	chr3	18.0	50.613
HGNC:5238	chr9	4.0	22.471
HGNC:3049	chr18	22.0	39.749
HGNC:22950	chr8	41.0	87.042
HGNC:31406	chr10	6.0	28.721
HGNC:24721	chr5	5.0	80.136
HGNC:18303	chr8	12.0	30.835
HGNC:9188	chr4	14.0	63.535
HGNC:25609	chr15	11.0	49.465
HGNC:16924	chr4	38.0	88.717
HGNC:12017	chr1	9.0	141.15
HGNC:2295	chr3	25.0	54.056
HGNC:29068	chr16	57.0	78.324
HGNC:17328	chr6	11.0	18.511
HGNC:1183	chr12	42.0	56.545
HGNC:1184	chr12	14.0	32.669
HGNC:29235	chr4	34.0	53.833
HGNC:6862	chr3	8.0	41.418
HGNC:17643	chr6	9.0	22.316
HGNC:10261	chr6	113.0	118.35
HGNC:12625	chr11	32.0	66.652
HGNC:14065	chr7	9.0	63.225
HGNC:13594	chr5	12.0	19.034
HGNC:26934	chr5	4.0	7.7542
HGNC:29253	chr4	58.0	92.445
HGNC:17296	chr8	8.0	20.663
HGNC:27267	chr7	1.0	29.447
HGNC:11913	chr16	8.0	6.3037
HGNC:30542	chr16	23.0	43.974
HGNC:6643	chr12	1.0	8.3433
HGNC:14502	chr6	13.0	11.576
HGNC:4678	chr6	6.0	8.297
HGNC:18118	chr11	0.0	67.83
HGNC:23595	chr1	55.0	207.32
HGNC:2550	chr10	1.0	27.202
HGNC:13247	chr9	3.0	47.645
HGNC:9757	chr2	12.0	59.332
HGNC:2218	chr1	22.0	49.421
HGNC:6343	chr12	2.0	15.014
HGNC:3439	chr5	23.0	24.045
HGNC:222	chr5	8.0	65.539
HGNC:4795	chr1	17.0	27.107
HGNC:12644	chr1	5.0	8.2614
HGNC:8847	chr1	36.0	56.54
HGNC:12636	chr1	3.0	6.0521
HGNC:11924	chr1	3.0	12.794
HGNC:18235	chr17	25.0	25.359
HGNC:6714	chr2	32.0	90.752
HGNC:9934	chr11	9.0	13.895
HGNC:3327	chr7	29.0	45.412
HGNC:9970	chr7	12.0	19.901
HGNC:18040	chr6	4.0	90.099
HGNC:24308	chr5	13.0	32.044
HGNC:7728	chr18	7.0	66.288
HGNC:4879	chr5	20.0	31.733
HGNC:25734	chr5	17.0	19.389
HGNC:20184	chr14	5.0	16.944
HGNC:2893	chr11	11.0	17.351
HGNC:13209	chr7	26.0	36.684
HGNC:7783	chr7	17.0	19.397
HGNC:21097	chr6	11.0	14.862
HGNC:24636	chr12	21.0	35.351
HGNC:24241	chr12	6.0	20.051
HGNC:11034	chr12	8.0	54.185
HGNC:6494	chr9	48.0	72.59
HGNC:9595	chr1	3.0	13.39
HGNC:19315	chr4	8.0	25.716
HGNC:6886	chr5	7.0	25.489
HGNC:22990	chr5	26.0	41.35
HGNC:971	chr16	3.0	31.503
HGNC:25378	chr11	6.0	40.355
HGNC:13744	chr16	1.0	20.596
HGNC:17514	chr19	2.0	18.454
HGNC:9817	chr15	6.0	18.385
HGNC:9186	chr3	122.0	116.73
HGNC:8976	chr3	9.0	62.441
HGNC:2577	chr16	8.0	8.6531
HGNC:19072	chr5	4.0	9.899
HGNC:15716	chr6	7.0	8.3941
HGNC:7215	chr12	26.0	55.985
HGNC:30036	chr12	3.0	79.04
HGNC:9491	chr16	4.0	13.335
HGNC:26119	chr1	3.0	11.031
HGNC:29100	chr10	30.0	70.803
HGNC:29280	chr4	2.0	48.451
HGNC:10545	chr4	4.0	13.024
HGNC:25596	chr11	8.0	64.095
HGNC:450	chr11	4.0	17.621
HGNC:21389	chr5	12.0	43.753
HGNC:1928	chr14	2.0	17.356
HGNC:21566	chr6	9.0	12.073
HGNC:389	chr1	15.0	15.125
HGNC:18477	chr1	0.0	12.984
HGNC:7860	chr20	1.0	5.0541
HGNC:30882	chr19	10.0	17.066
HGNC:30319	chr3	48.0	67.523
HGNC:23078	chr12	15.0	14.892
HGNC:6483	chr18	102.0	173.92
HGNC:20192	chr14	17.0	23.37
HGNC:19990	chr4	16.0	52.657
HGNC:6294	chr11	17.0	31.333
HGNC:19942	chr1	2.0	7.5377
HGNC:22964	chr1	4.0	48.104
HGNC:30033	chr9	6.0	5.4551
HGNC:3364	chr9	21.0	20.54
HGNC:6729	chr2	84.0	108.73
HGNC:15550	chr1	6.0	63.166
HGNC:14007	chr1	7.0	14.704
HGNC:10671	chr1	25.0	44.517
HGNC:9676	chr2	19.0	47.777
HGNC:18270	chr1	17.0	30.449
HGNC:16636	chr1	11.0	106.46
HGNC:3800	chr6	0.0	9.6262
HGNC:1309	chr22	6.0	27.137
HGNC:17084	chr14	118.0	369.28
HGNC:17733	chr14	27.0	69.318
HGNC:13540	chr20	7.0	64.215
HGNC:11250	chr20	15.0	20.77
HGNC:16231	chr20	2.0	6.2609
HGNC:24168	chr11	13.0	23.276
HGNC:28999	chr11	0.0	13.075
HGNC:13764	chr11	13.0	22.282
HGNC:4115	chr14	29.0	42.215
HGNC:29926	chr2	10.0	30.647
HGNC:30232	chr1	1.0	7.062
HGNC:6251	chr7	5.0	38.303
HGNC:2551	chr7	3.0	53.944
HGNC:1333	chr5	18.0	25.676
HGNC:13760	chr5	2.0	68.242
HGNC:17075	chr6	0.0	30.412
HGNC:21074	chr6	14.0	16.21
HGNC:9437	chr2	9.0	30.487
HGNC:20062	chr17	18.0	51.819
HGNC:13726	chr7	18.0	219.18
HGNC:13358	chr1	21.0	32.119
HGNC:29400	chr2	11.0	20.52
HGNC:14958	chr2	9.0	55.343
HGNC:14517	chr10	11.0	12.28
